deg	deg	HIP	mag	mas	mag	sptype
052.0777492318	-37.4473001931	 16166	 9.32	   5.17	 1.015	K0
052.0835193047	-36.0131065474	 16167	 8.03	  10.15	 0.374	F2V
052.0862488750	+33.8075574432	 16168	 5.72	   9.51	 0.048	A2V
052.0878531390	-06.5309226783	 16169	 8.23	  21.98	 0.619	G2V-VI
052.0870787747	+29.7992397610	 16170	 9.16	   1.32	 0.530	F0V
052.0886719508	+26.2706341264	 16171	 7.53	   7.84	 1.212	K3III
052.0914796565	-04.5625197719	 16172	 8.13	   4.81	 0.100	A2
052.0951740362	+78.7240605688	 16173	10.42	  13.86	 1.005	
052.0939560970	+22.0590763986	 16174	 8.59	   7.38	 1.054	K0
052.0941966769	+34.7316192796	 16175	 9.07	   4.23	 0.236	A0
052.0948689275	+16.0812988168	 16176	11.14	   8.77	 0.716	G5
052.0982970675	+60.2556720743	 16177	 6.49	   3.80	 0.014	B9V
052.1017732457	+05.9858734964	 16178	 9.68	   2.43	 0.569	F5
052.1051919742	+74.9518459053	 16179	 8.42	   2.10	 1.532	K2
052.1106785871	-26.6107668642	 16180	 9.03	   8.85	 0.630	G3V
052.1106965427	+22.8040062961	 16181	 6.03	  14.44	 0.951	K0IV
052.1144818831	-13.2092948683	 16182	 7.15	   3.64	 1.545	K3III
052.1210584954	+59.9066474314	 16183	 7.51	   0.92	 0.975	F8
052.1226796534	-41.2050634856	 16184	 9.26	  10.65	 0.511	G0/G1V
052.1228932164	+57.6716599321	 16185	 8.69	   7.18	 0.539	F8
052.1258016008	+40.1710263654	 16186	 7.04	   9.35	 1.076	K0
052.1282153550	-25.7000314260	 16187	 8.73	   6.88	 0.589	G0V
052.1380007382	+43.7535901399	 16188	 7.21	   2.83	 0.226	A0
052.1389791573	-41.6084827599	 16189	 8.99	   1.10	 0.945	G8III/IV
052.1407676354	-80.7090090359	 16190	 7.77	   5.95	 1.168	K1III
052.1480422067	+87.3946964986	 16191	 9.14	   3.84	 0.495	F8
052.1494842348	-30.5677228864	 16192	10.29	  24.51	 0.603	
052.1514216469	+11.3905290462	 16193	 6.74	   8.69	 0.965	G5
052.1615045233	-61.1895299378	 16194	 8.33	   4.34	 1.176	K1II
052.1633091074	+62.4929992679	 16195	 8.31	   2.46	 0.583	B2V:e
052.1683732020	-18.3767102875	 16197	 8.56	   6.60	 0.310	F0V
052.1684076532	+50.4364356996	 16196	 7.61	   5.75	 0.495	F0
052.1701671659	-03.2148370454	 16198	 8.74	   2.85	 0.402	F0
052.1712517475	+47.3723424862	 16199	 8.09	   1.58	 1.330	K0II-III
